"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"123","Chester Taylor","RB","Toledo",2002,"BAL",6,207,"TaylCh01",151,47,4.98013245033113,70.8,213,NA,4.64,22,33,111,NA,NA,NA,NA
"124","Correll Buckhalter","RB","Nebraska",2001,"PHI",4,121,"BuckCo00",103,32,4.97087378640777,73,226,NA,4.53,11,40,NA,4.06,7.08,NA,NA
"125","Theo Riddick","RB","Notre Dame",2013,"DET",6,199,"RiddTh00",84,26,4.95238095238095,70.125,201,NA,4.68,NA,32,118,NA,NA,NA,NA
"126","Alexander Mattison","RB","Boise State",2019,"MIN",3,102,"MattAl01",13,4,4.92307692307692,70.875,221,NA,4.67,22,35,127,4.29,7.13,NA,NA
"127","LaMont Jordan","RB",NA,2001,"NYJ",2,49,"JordLa00",114,35,4.91228070175439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Charles Sims","RB","West Virginia",2014,"TB",3,69,"SimsCh00",47,14,4.76595744680851,72,214,NA,4.48,17,37.5,125,4.3,7.16,NA,NA
"129","Beanie Wells","RB","Michigan State",2009,"ARI",1,31,"WellCh00",51,15,4.70588235294118,73,235,NA,4.59,25,33.5,128,NA,NA,NA,NA
"130","Ben Tate","RB","Auburn",2010,"HOU",2,58,"TateBe00",51,15,4.70588235294118,71,220,NA,4.34,26,40.5,124,4.12,6.91,NA,NA
"131","Mikel Leshoure","RB","Illinois",2011,"DET",2,57,"LeshMi00",17,5,4.70588235294118,71.625,227,NA,4.56,21,38,122,4.4,6.82,NA,NA
"132","Shonn Greene","RB","Iowa",2009,"NYJ",3,65,"GreeSh00",85,25,4.70588235294118,70.5,227,NA,4.62,19,37,121,4.4,7.1,NA,NA
"133","Vick Ballard","RB","Mississippi State",2012,"IND",5,170,"BallVi00",17,5,4.70588235294118,70.25,219,NA,4.59,23,33,115,4.19,7.03,NA,NA
"134","Andre Ellington","RB","Clemson",2013,"ARI",6,187,"ElliAn00",65,19,4.67692307692308,69.25,199,NA,4.61,NA,34,122,NA,NA,NA,NA
"135","Michael Bush","RB",NA,2007,"OAK",4,100,"BushMi00",89,26,4.67415730337079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Rashaad Penny","RB","San Diego State",2018,"SEA",1,27,"PennRa00",24,7,4.66666666666667,71,220,NA,4.46,13,32.5,120,NA,NA,NA,NA
"137","Derrick Ward","RB",NA,2004,"NYJ",7,235,"WardDe01",93,27,4.64516129032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Justin Forsett","RB","California",2008,"SEA",7,233,"ForsJu00",122,35,4.59016393442623,68,194,NA,NA,26,26.5,112,NA,6.96,1,NA
"139","Ronald Jones II","RB",NA,2018,"TB",2,38,"JoneRo01",25,7,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Tre Mason","RB","Auburn",2014,"STL",3,75,"MasoTr00",25,7,4.48,68.5,207,NA,4.5,NA,38.5,125,4.15,NA,NA,NA
"141","Terrance West","RB","Towson (MD)",2014,"CLE",3,94,"WestTe00",43,12,4.46511627906977,69.25,225,NA,4.56,16,33.5,120,NA,NA,NA,NA
"142","Kenneth Dixon","RB","Louisiana Tech",2016,"BAL",4,134,"DixoKe00",18,5,4.44444444444444,70.125,215,NA,4.56,18,37.5,121,4.28,6.97,NA,NA
"143","Mike Gillislee","RB","Florida",2013,"MIA",5,164,"GillMi00",36,10,4.44444444444444,71.125,208,NA,4.55,15,30.5,119,4.4,7.12,NA,NA
"144","Jeremy Langford","RB","Michigan State",2015,"CHI",4,106,"LangJe00",29,8,4.41379310344828,71.625,208,NA,4.42,NA,34.5,118,4.32,7.22,NA,NA
"145","Lee Suggs","RB",NA,2003,"CLE",4,115,"SuggLe00",29,8,4.41379310344828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
