"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"19","Matthew Stafford","QB","Georgia",2009,"DET",1,1,"StafMa00",149,118,12.6711409395973,74.25,225,38,4.81,NA,30.5,107,4.47,7.06,1,NA
"20","Michael Vick","QB","Virginia Tech",2001,"ATL",1,1,"VickMi00",143,113,12.6433566433566,72,210,20,4.33,NA,38,NA,NA,NA,4,NA
"21","Carson Palmer","QB","Southern California",2003,"CIN",1,1,"PalmCa00",182,142,12.4835164835165,77,232,26,4.65,NA,NA,NA,NA,NA,3,1
"22","Marcus Mariota","QB","Oregon",2015,"TEN",1,2,"MariMa01",63,48,12.1904761904762,75.75,222,NA,4.52,NA,36,121,4.11,6.87,NA,NA
"23","Kirk Cousins","QB","Michigan State",2012,"WAS",4,102,"CousKi00",93,69,11.8709677419355,74.625,214,33,4.84,NA,28.5,109,4.5,7.05,2,NA
"24","Andy Dalton","QB","Texas Christian",2011,"CIN",2,35,"DaltAn00",133,98,11.7894736842105,74,215,29,4.83,NA,29.5,106,4.27,6.93,3,NA
"25","Robert Griffin","QB","Baylor",2012,"WAS",1,2,"GrifRo01",52,38,11.6923076923077,74.375,223,24,4.33,NA,39,120,NA,NA,1,NA
"26","Ryan Tannehill","QB","Texas A&M",2012,"MIA",1,8,"TannRy00",100,72,11.52,75.875,221,34,4.65,NA,NA,NA,NA,NA,1,NA
"27","Gardner Minshew","QB","Washington State",2019,"JAX",6,178,"MinsGa00",14,10,11.4285714285714,72.875,225,NA,4.97,NA,33.5,116,4.45,7.14,NA,NA
"28","Jay Cutler","QB","Vanderbilt",2006,"DEN",1,11,"CutlJa00",153,109,11.3986928104575,75.25,226,26,4.81,23,NA,NA,4.26,7.1,1,NA
"29","Alex Smith","QB","Utah",2005,"SF",1,1,"SmitAl03",166,118,11.3734939759036,76.125,217,40,4.78,NA,32,113,3.96,6.82,3,NA
"30","Colin Kaepernick","QB","Nevada",2011,"SF",2,36,"KaepCo00",69,49,11.3623188405797,76.625,233,NA,4.53,NA,32.5,115,4.18,6.85,NA,NA
"31","Baker Mayfield","QB","Oklahoma",2018,"CLE",1,1,"MayfBa00",30,21,11.2,72.625,215,NA,4.84,NA,29,111,4.28,7,NA,NA
"32","Eli Manning","QB","Mississippi",2004,"SD",1,1,"MannEl00",236,165,11.1864406779661,76.8,221,39,4.9,NA,NA,NA,NA,NA,4,NA
"33","Chad Pennington","QB","Marshall (WV)",2000,"NYJ",1,18,"PennCh01",89,62,11.1460674157303,75.4,229,25,4.85,NA,33.5,111,4.16,7.12,NA,NA
"34","Daniel Jones","QB","Duke",2019,"NYG",1,6,"JoneDa05",13,9,11.0769230769231,77.125,221,NA,4.81,NA,33.5,120,4.41,7,NA,NA
"35","Joe Flacco","QB","Delaware",2008,"BAL",1,18,"FlacJo00",171,118,11.0409356725146,78.38,236,27,4.86,NA,28.5,110,4.27,6.82,NA,NA
