"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"68",407,"Jordan Hicks","LB","Texas",2015,"PHI",3,84,"HickJo00",59,29,7.86440678,73.375,236,28,4.68,20,38,124,4.15,6.78,NA,NA
"69",408,"Myles Jack","LB","UCLA",2016,"JAX",2,36,"JackMy00",59,29,7.86440678,73,245,NA,NA,19,NA,NA,NA,NA,NA,NA
"70",409,"Nick Barnett","LB","Oregon State",2003,"GB",1,29,"BarnNi20",153,75,7.843137255,73.6,236,NA,4.69,32,34.5,123,4.07,6.97,NA,NA
"71",410,"Danny Trevathan","LB","Kentucky",2012,"DEN",6,188,"TrevDa00",96,47,7.833333333,72.25,237,NA,4.75,18,31.5,111,NA,NA,NA,NA
"72",412,"Kendrell Bell","LB","Georgia",2001,"PIT",2,39,"BellKe20",90,44,7.822222222,73.3,234,NA,4.62,24,38.5,124,4.5,7.25,NA,1
"73",442,"Zach Cunningham","LB",NA,2017,"HOU",2,57,"CunnZa00",46,22,7.652173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",449,"Rey Maualuga","LB","Southern California",2009,"CIN",2,38,"MauaRe99",120,57,7.6,73.75,249,15,4.78,23,NA,107,NA,NA,NA,NA
"75",452,"De'Vondre Campbell","LB",NA,2016,"ATL",4,115,"CampDe00",59,28,7.593220339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",458,"Marcus Washington","LB","Auburn",2000,"IND",2,59,"WashMa99",131,62,7.572519084,75.3,252,NA,4.7,NA,35,118,4.49,6.91,NA,NA
"77",470,"Preston Brown","LB","Louisville",2014,"BUF",3,73,"BrowPr00",81,38,7.50617284,73.25,251,NA,4.86,23,33,115,4.26,6.98,NA,NA
"78",471,"Curtis Lofton","LB","Oklahoma",2008,"ATL",2,37,"LoftCu99",128,60,7.5,72,246,NA,4.85,23,24.5,105,4.56,7.69,NA,NA
