"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"122","Fred Smoot","DB",NA,2001,"WAS",2,45,"SmooFr20",129,47,5.82945736434108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Micah Hyde","DB","Iowa",2013,"GB",5,159,"HydeMi00",110,40,5.81818181818182,71.75,197,NA,4.56,12,33,121,4.2,6.78,NA,NA
"124","Ike Taylor","DB",NA,2003,"PIT",4,125,"TaylIk20",174,63,5.79310344827586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Marlon McCree","DB","Kentucky",2001,"JAX",7,233,"McCrMa20",116,42,5.79310344827586,71,197,NA,4.6,10,38,117,4.1,7.36,NA,NA
"126","Jason David","DB",NA,2004,"IND",4,125,"DaviJa20",75,27,5.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Adam Archuleta","DB","Arizona State",2001,"STL",1,20,"ArchAd20",103,37,5.74757281553398,71.9,211,NA,4.46,31,NA,NA,NA,NA,NA,NA
"128","Ahmed Plummer","DB",NA,2000,"SF",1,24,"PlumAh20",70,25,5.71428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Darnell Savage","DB",NA,2019,"GB",1,21,"SavaDa00",14,5,5.71428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Tracy Porter","DB","Indiana",2008,"NO",2,40,"PortTr99",98,35,5.71428571428571,70.875,188,NA,4.49,18,34,123,4.07,7.2,NA,NA
"131","Bradley Fletcher","DB","Iowa",2009,"STL",3,66,"FletBr99",73,26,5.6986301369863,72.375,196,NA,4.47,20,38.5,122,4.29,7.04,NA,NA
"132","Anthony Henry","DB","South Florida",2001,"CLE",4,97,"HenrAn20",132,47,5.6969696969697,72.8,198,NA,4.57,15,41,126,4.2,6.9,NA,NA
"133","Terrence Kiel","DB","Texas A&M",2003,"SD",2,62,"KielTe20",59,21,5.69491525423729,71.1,204,NA,4.49,16,38,127,3.92,6.87,NA,NA
"134","Adrian Amos","DB","Penn State",2015,"CHI",5,142,"AmosAd00",76,27,5.68421052631579,72.5,218,NA,4.56,NA,35.5,122,4.03,7.09,NA,NA
"135","Justin Reid","DB","Stanford",2018,"HOU",3,68,"ReidJu00",31,11,5.67741935483871,72.5,204,NA,4.4,16,36.5,128,4.15,6.65,NA,NA
"136","Prince Amukamara","DB","Nebraska",2011,"NYG",1,19,"AmukPr00",113,40,5.66371681415929,72,206,NA,4.38,15,38,128,4.08,6.97,NA,NA
"137","Damarious Randall","DB","Arizona State",2015,"GB",1,30,"RandDa00",65,23,5.66153846153846,70.875,196,18,4.46,14,38,120,4.07,6.83,NA,NA
"138","Trumaine Johnson","DB","Montana",2012,"STL",3,65,"JohnTr05",102,36,5.64705882352941,73.875,204,NA,4.5,19,35.5,122,4.15,7.2,NA,NA
"139","Cary Williams","DB",NA,2008,"TEN",7,229,"WillCa99",97,34,5.60824742268041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Derek Cox","DB","William & Mary (VA)",2009,"JAX",3,73,"CoxxDe99",63,22,5.58730158730159,72.75,189,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","E.J. Gaines","DB","Missouri",2014,"STL",6,188,"GainE.00",43,15,5.58139534883721,69.625,190,NA,4.44,15,NA,NA,NA,NA,NA,NA
"142","Jason McCourty","DB","Rutgers",2009,"TEN",6,203,"McCoJa99",150,52,5.54666666666667,70.375,193,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Johnathan Cyprien","DB","Florida International",2013,"JAX",2,33,"CyprJo00",75,26,5.54666666666667,72.25,217,NA,4.56,NA,38.5,NA,NA,NA,NA,NA
"144","Jimmy Smith","DB","Colorado",2011,"BAL",1,27,"SmitJi03",107,37,5.53271028037383,74.25,211,NA,4.42,24,36,123,4.06,6.93,NA,NA
"145","Deone Bucannon","DB","Washington State",2014,"ARI",1,27,"BucaDe00",84,29,5.52380952380952,73,211,NA,4.49,19,36.5,124,4.26,6.96,NA,NA
"146","Donte Jackson","DB","Louisiana State",2018,"CAR",2,55,"JackDo02",29,10,5.51724137931035,70.5,175,NA,4.32,7,NA,124,NA,NA,NA,NA
"147","Dwight Lowery","DB","San Jose State",2008,"NYJ",4,113,"LoweDw99",116,40,5.51724137931035,71.125,201,NA,4.69,16,33.5,116,4.38,7.31,NA,NA
"148","Chris Crocker","DB",NA,2003,"CLE",3,84,"CrocCh20",151,52,5.50993377483444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Danieal Manning","DB","Abilene Christian (TX)",2006,"CHI",2,42,"MannDa21",128,44,5.5,70.75,202,NA,4.5,17,39,123,4.07,7.23,NA,NA
"150","Jessie Bates III","DB",NA,2018,"CIN",2,54,"BateJe00",32,11,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Kevin Payne","DB","Louisiana-Monroe",2007,"CHI",5,167,"PaynKe99",32,11,5.5,72.25,220,NA,4.63,20,35,106,4.3,7,NA,NA
