"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"276",2274,"Dezmon Briscoe","WR","Kansas",2010,"CIN",6,191,"BrisDe00",25,4,2.56,74,207,NA,4.66,9,33,115,4.57,7.1,NA,NA
"277",2278,"Bruce Ellington","WR","South Carolina",2014,"SF",4,106,"ElliBr00",44,7,2.545454545,69.375,197,NA,4.45,15,39.5,120,3.95,6.69,NA,NA
"278",2279,"Charles Lee","WR","Central Florida",2000,"GB",7,242,"LeexCh00",44,7,2.545454545,73.5,202,NA,4.6,NA,35.5,125,4.25,7.3,NA,NA
"279",2295,"Austin Pettis","WR","Boise State",2011,"STL",3,78,"PettAu00",51,8,2.509803922,74.625,209,NA,4.56,14,33.5,120,3.88,6.68,NA,NA
"280",2301,"Demarcus Robinson","WR","Florida",2016,"KC",4,126,"RobiDe01",64,10,2.5,73.375,203,NA,4.59,NA,34.5,123,4.19,6.77,NA,NA
"281",2319,"Aldrick Robinson","WR","Southern Methodist (TX)",2011,"WAS",6,178,"RobiAl00",84,13,2.476190476,69.625,184,NA,4.35,17,40,126,4.09,6.65,NA,NA
"282",2326,"Kelley Washington","WR",NA,2003,"CIN",3,65,"WashKe00",91,14,2.461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",2328,"Kyle Williams","WR","Arizona State",2010,"SF",6,206,"WillKy01",39,6,2.461538462,70,188,NA,4.4,11,33,118,4.19,7,NA,NA
"284",2336,"R. Jay Soward","WR",NA,2000,"JAX",1,29,"SowaR.00",13,2,2.461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",2345,"Danny Farmer","WR",NA,2000,"PIT",4,103,"FarmDa00",33,5,2.424242424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",2349,"Sammie Stroughter","WR","Oregon State",2009,"TB",7,233,"StroSa00",33,5,2.424242424,69.375,189,NA,4.54,13,30,110,4.28,7.03,NA,NA
"287",2368,"T.J. Graham","WR","North Carolina State",2012,"BUF",3,69,"GrahT.00",47,7,2.382978723,71.375,188,NA,4.34,8,33.5,120,4.18,6.77,NA,NA
"288",2383,"Ben Obomanu","WR","Auburn",2006,"SEA",7,249,"ObomBe00",69,10,2.31884058,73,205,NA,4.45,NA,38,116,4.21,7.18,NA,NA
"289",2384,"Brice Butler","WR","San Diego State",2013,"OAK",7,209,"ButlBr00",69,10,2.31884058,75.25,214,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",2391,"Brian Quick","WR","Appalachian State (NC)",2012,"STL",2,33,"QuicBr00",84,12,2.285714286,75.5,220,NA,4.5,15,34,119,4.23,7.1,NA,NA
"291",2395,"Cobi Hamilton","WR","Arkansas",2013,"CIN",6,197,"HamiCo00",14,2,2.285714286,73.75,212,NA,4.56,11,29.5,107,4.31,NA,NA,NA
"292",2410,"Jarett Dillard","WR","Rice (TX)",2009,"JAX",5,144,"DillJa00",21,3,2.285714286,70.25,191,NA,4.52,13,42.5,129,4.41,7.1,NA,NA
"293",2415,"Kevin White","WR","West Virginia",2015,"CHI",1,7,"WhitKe00",14,2,2.285714286,74.625,215,NA,4.35,23,36.5,123,4.14,6.92,NA,NA
"294",2419,"Malcolm Kelly","WR","Oklahoma",2008,"WAS",2,51,"KellMa01",21,3,2.285714286,75.75,224,NA,NA,NA,NA,NA,NA,NA,NA,NA
